V1(t) V2(t)
0 0
5e-15 5e-15
5e-06 5e-06
1.4025e-05 1.4025e-05
2.21926e-05 2.21926e-05
2.95843e-05 2.95843e-05
3.62738e-05 3.62738e-05
4.23278e-05 4.23278e-05
4.78067e-05 4.78067e-05
5.2765e-05 5.2765e-05
5.22524e-05 5.22524e-05
4.72884e-05 4.72884e-05
4.2796e-05 4.2796e-05
3.87304e-05 3.87304e-05
3.5051e-05 3.5051e-05
3.17211e-05 3.17211e-05
2.87076e-05 2.87076e-05
2.59804e-05 2.59804e-05
2.35123e-05 2.35123e-05
2.12786e-05 2.12786e-05
1.92571e-05 1.92571e-05
1.74277e-05 1.74277e-05
2.07721e-05 2.07721e-05
2.82987e-05 2.82987e-05
3.51103e-05 3.51103e-05
4.12749e-05 4.12749e-05
4.68538e-05 4.68538e-05
5.19026e-05 5.19026e-05
5.64719e-05 5.64719e-05
6.06071e-05 6.06071e-05
6.43494e-05 6.43494e-05
6.27362e-05 6.27362e-05
5.67763e-05 5.67763e-05
5.13825e-05 5.13825e-05
4.65012e-05 4.65012e-05
4.20836e-05 4.20836e-05
3.80856e-05 3.80856e-05
3.44675e-05 3.44675e-05
3.11931e-05 3.11931e-05
2.82297e-05 2.82297e-05
2.55479e-05 2.55479e-05
2.81209e-05 2.81209e-05
3.49494e-05 3.49494e-05
4.11292e-05 4.11292e-05
4.67219e-05 4.67219e-05
5.17833e-05 5.17833e-05
5.63639e-05 5.63639e-05
6.05093e-05 6.05093e-05
6.4261e-05 6.4261e-05
6.76562e-05 6.76562e-05
6.57288e-05 6.57288e-05
5.94846e-05 5.94846e-05
5.38336e-05 5.38336e-05
4.87194e-05 4.87194e-05
4.4091e-05 4.4091e-05
3.99024e-05 3.99024e-05
3.61117e-05 3.61117e-05
3.2681e-05 3.2681e-05
2.95763e-05 2.95763e-05
2.67666e-05 2.67666e-05
2.42238e-05 2.42238e-05
2.69225e-05 2.69225e-05
3.38649e-05 3.38649e-05
4.01477e-05 4.01477e-05
4.58337e-05 4.58337e-05
5.09795e-05 5.09795e-05
5.56364e-05 5.56364e-05
5.9851e-05 5.9851e-05
6.36651e-05 6.36651e-05
6.71169e-05 6.71169e-05
6.52408e-05 6.52408e-05
5.90429e-05 5.90429e-05
5.34339e-05 5.34339e-05
4.83577e-05 4.83577e-05
4.37637e-05 4.37637e-05
3.96061e-05 3.96061e-05
3.58435e-05 3.58435e-05
3.24384e-05 3.24384e-05
2.93568e-05 2.93568e-05
2.65679e-05 2.65679e-05
2.40439e-05 2.40439e-05
2.17597e-05 2.17597e-05
2.46926e-05 2.46926e-05
3.18468e-05 3.18468e-05
3.83213e-05 3.83213e-05
4.41808e-05 4.41808e-05
4.94836e-05 4.94836e-05
5.42827e-05 5.42827e-05
5.86258e-05 5.86258e-05
6.25564e-05 6.25564e-05
6.61135e-05 6.61135e-05
6.43327e-05 6.43327e-05
5.82211e-05 5.82211e-05
5.26901e-05 5.26901e-05
4.76846e-05 4.76846e-05
4.31545e-05 4.31545e-05
3.90548e-05 3.90548e-05
3.53446e-05 3.53446e-05
3.19869e-05 3.19869e-05
2.89481e-05 2.89481e-05
