V1(t) V2(t)
0 0
1.97017e-12 1.48667e-14
7.78523e-12 1.05827e-13
1.72966e-11 3.43809e-13
3.03629e-11 7.94116e-13
0.0025 1.51679e-12
0.00370062 2.45061e-05
0.00428896 4.25817e-05
0.00458019 5.30384e-05
0.00705126 6.72808e-05
0.0119566 0.000113924
0.0168135 0.000184388
0.0263841 0.000394811
0.0357678 0.000694894
0.044969 0.00108103
0.0539923 0.00154974
0.0628419 0.00209763
0.0715221 0.00272146
0.080037 0.00341804
0.0883905 0.00418434
0.0965865 0.00501738
0.104629 0.00591431
0.120267 0.00788847
0.135333 0.0100862
0.149854 0.0124877
0.163854 0.0150745
0.177357 0.0178295
0.190387 0.0207365
0.202964 0.0237805
0.215108 0.0269475
0.22684 0.0302242
0.238177 0.0335986
0.249136 0.0370592
0.259734 0.0405954
0.269987 0.0441973
0.279909 0.0478557
0.289514 0.0515621
0.298815 0.0553084
0.316559 0.0628909
0.333231 0.0705515
0.348917 0.0782447
0.363692 0.0859317
0.377626 0.0935791
0.390781 0.101159
0.403214 0.108648
0.414977 0.116026
0.426117 0.123276
0.436676 0.130386
0.428538 0.137256
0.400971 0.142638
0.375701 0.146591
0.352503 0.149309
0.331172 0.150963
0.311526 0.151703
0.293405 0.151661
0.276662 0.150952
0.261168 0.149678
0.246807 0.147929
0.233475 0.145782
0.22108 0.143307
0.209537 0.140561
0.198771 0.137598
0.188717 0.134464
0.179312 0.131196
0.170503 0.127829
0.16224 0.124394
0.15448 0.120915
0.147182 0.117414
0.140311 0.11391
0.133833 0.110419
0.12772 0.106954
0.121944 0.103528
0.116482 0.100149
0.111311 0.0968254
0.106411 0.093564
0.101764 0.0903699
0.124588 0.0877923
0.156802 0.0864622
0.186514 0.0864239
0.213961 0.0874864
0.239356 0.0894823
0.262891 0.0922646
0.284737 0.0957048
0.305046 0.0996902
0.323955 0.104122
0.341587 0.108916
0.358054 0.113996
0.373455 0.119298
0.387878 0.124764
0.401405 0.130348
0.414107 0.136006
0.426052 0.141703
0.437297 0.147407
0.447896 0.153092
0.457899 0.158736
0.467348 0.164319
0.476283 0.169827
0.484742 0.175245
0.474601 0.180474
0.445121 0.184267
0.418028 0.186681
0.393087 0.18791
0.370091 0.188123
0.348855 0.187471
0.329212 0.186084
0.311014 0.184076
0.294127 0.181549
0.278434 0.17859
0.263826 0.175277
0.250209 0.171676
0.237496 0.167847
0.225609 0.163839
0.21448 0.159697
0.204045 0.15546
0.194249 0.151159
0.18504 0.146824
0.176372 0.142479
0.168203 0.138145
0.160497 0.133839
0.153218 0.129576
0.146337 0.125368
0.139824 0.121227
0.133654 0.117161
0.127803 0.113176
0.122252 0.109279
0.116978 0.105473
0.139202 0.102308
0.170839 0.100412
0.199997 0.0998299
0.226913 0.10037
0.251798 0.101863
0.274843 0.104162
0.296218 0.107138
0.316074 0.110676
0.33455 0.11468
0.351765 0.119061
0.367832 0.123744
0.382848 0.128664
0.396902 0.133765
0.410074 0.138996
0.422436 0.144316
0.434053 0.149688
0.444984 0.155079
0.455281 0.160464
0.464993 0.165819
0.474164 0.171125
0.482832 0.176366
0.491033 0.181528
0.493801 0.1866
0.463085 0.190636
0.434859 0.193229
0.408878 0.194581
0.384926 0.19487
0.362809 0.194252
0.342354 0.192864
0.323405 0.190826
0.305825 0.188242
0.289487 0.185206
0.274282 0.181797
0.26011 0.178086
0.246879 0.174134
0.23451 0.169994
0.222931 0.165713
0.212075 0.161329
0.201884 0.156878
0.192304 0.15239
0.183289 0.14789
0.174793 0.143399
0.166779 0.138936
0.159211 0.134517
0.152055 0.130155
0.145283 0.12586
0.138869 0.121643
0.132787 0.11751
0.127016 0.113466
0.121534 0.109518
0.14356 0.106212
0.17501 0.10418
0.203989 0.103465
0.230735 0.103876
0.255459 0.105243
0.27835 0.10742
0.299578 0.110277
0.319295 0.113701
0.337636 0.117593
0.354725 0.121866
0.37067 0.126445
0.385569 0.131265
0.399512 0.136268
0.412578 0.141405
0.424838 0.146634
0.436358 0.151917
0.447196 0.157224
0.457404 0.162528
0.467031 0.167804
0.476119 0.173034
0.484709 0.178202
0.492835 0.183294
0.49553 0.188298
0.464746 0.192268
0.436454 0.194798
0.410409 0.19609
0.386396 0.19632
0.364221 0.195646
0.34371 0.194204
0.324707 0.192114
0.307075 0.189481
0.290688 0.186396
0.275436 0.182941
