V1(t) V2(t)
0 0
1.97017e-12 1.48667e-14
7.78523e-12 1.05827e-13
1.72966e-11 3.43809e-13
3.03629e-11 7.94116e-13
0.0025 1.51679e-12
0.0220099 0.000242092
0.0407632 0.000849705
0.0587963 0.00179403
0.076144 0.0030481
0.0928388 0.00458664
0.108912 0.00638602
0.124392 0.00842409
0.139308 0.0106802
0.153684 0.0131349
0.167547 0.0157701
0.18092 0.0185689
0.193825 0.0215156
0.206283 0.0245952
0.218313 0.0277942
0.229936 0.0310995
0.241169 0.0344992
0.252029 0.0379822
0.262532 0.041538
0.272694 0.0451569
0.282528 0.0488299
0.29205 0.0525485
0.301271 0.0563051
0.310205 0.0600923
0.318863 0.0639034
0.327256 0.0677323
0.335395 0.071573
0.343291 0.0754203
0.350953 0.0792692
0.358389 0.0831152
0.365609 0.086954
0.372622 0.0907818
0.379434 0.094595
0.386053 0.0983903
0.392488 0.102165
0.398744 0.105916
0.404827 0.10964
0.410745 0.113337
0.416503 0.117003
0.422107 0.120636
0.427562 0.124235
0.432874 0.127799
0.438046 0.131326
0.443085 0.134814
0.447994 0.138264
0.450277 0.141673
0.43543 0.144799
0.421222 0.147517
0.407621 0.149856
0.394595 0.151843
0.382116 0.153502
0.370156 0.154856
0.358688 0.155928
0.347689 0.156737
0.337134 0.157303
0.327002 0.157645
0.317272 0.157778
0.307924 0.157719
0.29894 0.157483
0.290302 0.157083
0.281993 0.156533
0.273998 0.155845
0.266301 0.15503
0.25889 0.154098
0.251749 0.153061
0.244868 0.151927
0.238233 0.150705
0.231833 0.149403
0.225658 0.148029
0.219698 0.14659
0.213942 0.145092
0.208383 0.143542
0.20301 0.141946
0.197817 0.140309
0.192794 0.138636
0.187936 0.136932
0.183234 0.1352
0.178683 0.133446
0.174275 0.131673
0.170005 0.129885
0.165868 0.128084
0.161857 0.126274
0.157968 0.124457
0.154196 0.122637
0.150536 0.120815
0.146984 0.118994
0.143536 0.117176
0.140187 0.115362
0.136934 0.113555
0.133773 0.111756
0.130701 0.109966
0.127715 0.108187
0.12481 0.10642
0.121985 0.104666
0.119237 0.102926
0.116562 0.101202
0.113959 0.0994931
0.111425 0.097801
0.108956 0.0961263
0.106552 0.0944694
0.10421 0.092831
0.115818 0.0913491
0.132662 0.0902045
0.148827 0.0894284
0.164346 0.0889932
0.179251 0.0888733
0.193572 0.0890445
0.207337 0.0894843
0.220574 0.0901715
0.233307 0.0910862
0.245562 0.09221
0.257359 0.0935255
0.268722 0.0950164
0.27967 0.0966675
0.290222 0.0984645
0.300397 0.100394
0.310212 0.102444
0.319684 0.104603
0.328828 0.106859
0.337658 0.109204
0.346188 0.111626
0.354433 0.114118
0.362403 0.116671
0.370112 0.119277
0.377569 0.12193
0.384787 0.124623
0.391775 0.12735
0.398543 0.130104
0.405099 0.132881
0.411453 0.135676
0.417613 0.138484
0.423586 0.1413
0.429381 0.144122
0.435003 0.146944
0.440461 0.149765
0.44576 0.15258
0.450906 0.155388
0.455905 0.158185
0.460763 0.160968
0.465484 0.163737
0.470075 0.166488
0.47454 0.16922
0.478883 0.171931
0.483108 0.17462
0.48722 0.177286
0.491223 0.179926
0.48123 0.182403
0.465958 0.184534
0.451322 0.186289
0.437292 0.187694
0.423836 0.188774
0.410925 0.189554
0.398534 0.190055
0.386635 0.190299
0.375206 0.190304
0.364223 0.190089
0.353664 0.189672
0.343509 0.189068
0.333739 0.188292
0.324335 0.187359
0.31528 0.186282
0.306558 0.185072
0.298152 0.183743
0.29005 0.182303
0.282235 0.180764
0.274696 0.179135
0.26742 0.177424
0.260395 0.175641
0.25361 0.173792
0.247054 0.171884
0.240718 0.169926
0.23459 0.167921
0.228664 0.165878
0.222929 0.1638
0.217379 0.161693
0.212004 0.159561
0.206798 0.15741
0.201754 0.155242
0.196865 0.153062
0.192125 0.150873
0.187528 0.148678
0.183068 0.146481
0.178739 0.144283
0.174538 0.142089
0.170458 0.139899
0.166495 0.137716
0.162645 0.135542
0.158904 0.133379
0.155267 0.131228
0.15173 0.129092
0.148291 0.126971
0.144945 0.124866
0.141689 0.12278
0.138519 0.120712
0.135434 0.118664
0.13243 0.116636
0.129504 0.11463
0.126654 0.112646
0.123877 0.110685
0.12117 0.108747
0.118532 0.106832
0.129851 0.105079
0.146411 0.103669
0.162298 0.102631
0.177545 0.10194
0.192184 0.101568
