V1(t) V2(t)
0 0
2e-12 2e-12
7.8804e-12 7.8804e-12
1.75644e-11 1.75644e-11
3.09766e-11 3.09766e-11
0.01 0.01
0.029402 0.029402
0.0484198 0.0484198
0.0670611 0.0670611
0.0853333 0.0853333
0.103244 0.103244
0.120799 0.120799
0.138008 0.138008
0.154875 0.154875
0.171409 0.171409
0.187615 0.187615
0.2035 0.2035
0.219071 0.219071
0.234333 0.234333
0.249293 0.249293
0.263957 0.263957
0.278331 0.278331
0.29242 0.29242
0.30623 0.30623
0.319767 0.319767
0.333035 0.333035
0.346041 0.346041
0.35879 0.35879
0.371286 0.371286
0.383534 0.383534
0.39554 0.39554
0.407308 0.407308
0.418844 0.418844
0.430151 0.430151
0.441234 0.441234
0.452097 0.452097
0.462746 0.462746
0.473183 0.473183
0.483414 0.483414
0.493443 0.493443
0.503273 0.503273
0.512908 0.512908
0.522352 0.522352
0.53161 0.53161
0.540684 0.540684
0.549578 0.549578
0.558297 0.558297
0.566842 0.566842
0.575219 0.575219
0.583429 0.583429
0.581478 0.581478
0.569964 0.569964
0.558679 0.558679
0.547617 0.547617
0.536774 0.536774
0.526146 0.526146
0.515728 0.515728
0.505517 0.505517
0.495508 0.495508
0.485697 0.485697
0.47608 0.47608
0.466654 0.466654
0.457414 0.457414
0.448357 0.448357
0.43948 0.43948
0.430778 0.430778
0.422248 0.422248
0.413888 0.413888
0.405693 0.405693
0.39766 0.39766
0.389787 0.389787
0.382069 0.382069
0.374504 0.374504
0.367089 0.367089
0.35982 0.35982
0.352696 0.352696
0.345713 0.345713
0.338867 0.338867
0.332158 0.332158
0.325581 0.325581
0.319135 0.319135
0.312816 0.312816
0.306622 0.306622
0.300551 0.300551
0.2946 0.2946
0.288767 0.288767
0.283049 0.283049
0.277445 0.277445
0.271952 0.271952
0.266567 0.266567
0.261289 0.261289
0.256115 0.256115
0.251044 0.251044
0.246074 0.246074
0.241201 0.241201
0.236426 0.236426
0.231744 0.231744
0.227156 0.227156
0.222658 0.222658
0.218249 0.218249
0.213928 0.213928
0.209692 0.209692
0.20554 0.20554
0.201471 0.201471
0.197482 0.197482
0.193571 0.193571
0.199739 0.199739
0.215384 0.215384
0.230719 0.230719
0.245751 0.245751
0.260485 0.260485
0.274928 0.274928
0.289084 0.289084
0.30296 0.30296
0.316562 0.316562
0.329894 0.329894
0.342962 0.342962
0.355771 0.355771
0.368327 0.368327
0.380634 0.380634
0.392697 0.392697
0.404522 0.404522
0.416112 0.416112
0.427473 0.427473
0.438609 0.438609
0.449525 0.449525
0.460224 0.460224
0.470712 0.470712
0.480992 0.480992
0.491068 0.491068
0.500945 0.500945
0.510626 0.510626
0.520116 0.520116
0.529418 0.529418
0.538535 0.538535
0.547472 0.547472
0.556232 0.556232
0.564819 0.564819
0.573235 0.573235
0.581485 0.581485
