V1(t) V2(t)
0 0
4.63542e-11 1.79167e-12
0.0640972 0.00330556
0.143898 0.0122744
0.21027 0.0262229
0.266006 0.043161
0.313242 0.061682
0.353618 0.0808049
0.388399 0.0998578
0.418575 0.118392
0.43242 0.136122
0.366859 0.147566
0.313879 0.15158
0.270637 0.150518
0.234984 0.146083
0.205295 0.139499
0.180336 0.131639
0.15916 0.12312
0.141042 0.114369
0.12542 0.105679
0.111856 0.0972457
0.100006 0.0891926
0.153694 0.0848988
0.224307 0.0867603
0.282537 0.0941066
0.331034 0.104944
0.371813 0.117852
0.406416 0.131826
0.436025 0.146168
0.46156 0.160403
0.483733 0.174214
0.439009 0.184093
0.376229 0.187563
0.32488 0.185247
0.282457 0.179114
0.24706 0.170576
0.217245 0.160638
0.191905 0.15001
0.170188 0.139181
0.151435 0.128487
0.135131 0.118146
0.133369 0.108299
0.209518 0.104332
0.271821 0.107341
0.32331 0.114947
0.366285 0.125442
0.402494 0.137613
0.433276 0.150606
0.459664 0.163826
0.482456 0.176873
0.489775 0.18948
0.418425 0.196175
0.360294 0.195805
0.312453 0.190714
0.272686 0.182586
0.23931 0.172627
0.21104 0.161687
0.186888 0.150361
0.16609 0.139057
0.148055 0.128047
0.132314 0.117507
0.131001 0.107541
0.207508 0.103514
0.2701 0.106502
0.321826 0.114115
0.364995 0.124636
0.401367 0.136844
0.432286 0.14988
0.45879 0.163148
0.481681 0.176243
0.489086 0.188898
0.41781 0.19564
0.359744 0.195314
0.31196 0.190265
0.272244 0.182177
0.238913 0.172253
0.210682 0.161347
0.186565 0.150052
0.1658 0.138776
0.147793 0.127792
0.132078 0.117276
0.118287 0.107332
0.170223 0.101323
0.239254 0.10163
0.296055 0.107567
0.343261 0.117128
0.382873 0.128879
0.41642 0.141806
0.445075 0.155201
0.469747 0.168578
0.491139 0.181611
0.44571 0.190787
0.382291 0.193621
0.330365 0.190729
0.287419 0.184074
0.25155 0.175064
0.221307 0.164699
0.19558 0.153684
0.173513 0.142506
0.154444 0.131495
