V1(t) V2(t)
0 0
4.81458e-15 0.453667
6.74028e-06 0.825008
1.56172e-05 1.12896
2.36493e-05 1.37776
3.09167e-05 1.58141
3.74924e-05 1.74809
4.34423e-05 1.8845
4.88257e-05 1.99615
5.36968e-05 2.08752
5.68542e-05 2.16229
5.14425e-05 2.22348
4.65459e-05 2.27357
4.21154e-05 2.31458
3.81066e-05 2.34815
3.44794e-05 2.37563
3.11975e-05 2.39813
2.8228e-05 2.41655
2.55411e-05 2.43164
2.31099e-05 2.44399
2.09102e-05 2.45411
1.89199e-05 2.46239
2.38592e-05 2.46916
3.11067e-05 2.4747
3.76644e-05 2.47921
4.35978e-05 2.48289
4.89665e-05 2.48589
5.82274e-05 2.49034
5.68633e-05 2.49328
4.65445e-05 2.49529
3.80982e-05 2.49667
3.11846e-05 2.49763
3.82924e-05 2.49876
5.87464e-05 2.49911
2.54098e-05 2.49937
4.75684e-05 2.49931
4.07438e-05 2.49967
5.07342e-05 2.49949
6.86909e-05 2.49923
2.97111e-05 2.49928
4.94288e-05 2.49926
4.15485e-05 2.49965
5.10822e-05 2.49948
6.88414e-05 2.49923
2.97762e-05 2.49928
4.9457e-05 2.49926
4.15607e-05 2.49964
2.79764e-05 2.49957
5.88474e-05 2.49946
2.54535e-05 2.49939
4.75872e-05 2.49931
4.0752e-05 2.49967
2.76266e-05 2.49958
5.86961e-05 2.49947
2.5388e-05 2.49939
4.75589e-05 2.49931
4.07397e-05 2.49967
2.76213e-05 2.49958
5.86938e-05 2.49947
2.5387e-05 2.49939
4.75585e-05 2.49931
4.07395e-05 2.49967
5.07323e-05 2.49949
6.86901e-05 2.49923
2.97108e-05 2.49928
4.94287e-05 2.49926
4.15484e-05 2.49965
5.10822e-05 2.49948
6.88414e-05 2.49923
2.97762e-05 2.49928
4.9457e-05 2.49926
4.15607e-05 2.49964
5.10875e-05 2.49948
6.88437e-05 2.49923
2.97772e-05 2.49928
4.94574e-05 2.49926
4.15609e-05 2.49964
5.10876e-05 2.49948
6.88437e-05 2.49923
2.97772e-05 2.49928
4.94574e-05 2.49926
4.15609e-05 2.49964
5.10876e-05 2.49948
6.88437e-05 2.49923
2.97772e-05 2.49928
4.94574e-05 2.49926
4.15609e-05 2.49964
5.10876e-05 2.49948
6.88437e-05 2.49923
2.97772e-05 2.49928
4.94574e-05 2.49926
4.15609e-05 2.49964
5.10876e-05 2.49948
6.88437e-05 2.49923
2.97772e-05 2.49928
4.94574e-05 2.49926
4.15609e-05 2.49964
5.10876e-05 2.49948
6.88437e-05 2.49923
2.97772e-05 2.49928
