V1(t) V2(t)
2.49754e-05 2.49754e-05
2.44809e-05 2.44809e-05
2.39961e-05 2.39961e-05
2.3521e-05 2.3521e-05
2.30553e-05 2.30553e-05
2.25988e-05 2.25988e-05
2.31513e-05 2.31513e-05
2.46729e-05 2.46729e-05
2.61644e-05 2.61644e-05
2.76264e-05 2.76264e-05
2.90594e-05 2.90594e-05
3.0464e-05 3.0464e-05
3.18408e-05 3.18408e-05
3.31904e-05 3.31904e-05
3.45132e-05 3.45132e-05
3.58098e-05 3.58098e-05
3.70808e-05 3.70808e-05
3.83266e-05 3.83266e-05
3.95477e-05 3.95477e-05
4.07447e-05 4.07447e-05
4.19179e-05 4.19179e-05
4.3068e-05 4.3068e-05
4.41952e-05 4.41952e-05
4.53001e-05 4.53001e-05
4.63832e-05 4.63832e-05
4.74448e-05 4.74448e-05
4.84854e-05 4.84854e-05
4.95054e-05 4.95054e-05
5.05052e-05 5.05052e-05
5.14852e-05 5.14852e-05
5.24458e-05 5.24458e-05
5.33874e-05 5.33874e-05
5.43103e-05 5.43103e-05
5.52149e-05 5.52149e-05
5.61017e-05 5.61017e-05
5.69709e-05 5.69709e-05
5.78228e-05 5.78228e-05
5.8658e-05 5.8658e-05
5.94765e-05 5.94765e-05
6.02789e-05 6.02789e-05
6.10654e-05 6.10654e-05
6.18363e-05 6.18363e-05
6.25919e-05 6.25919e-05
6.33326e-05 6.33326e-05
6.40586e-05 6.40586e-05
6.47703e-05 6.47703e-05
6.54678e-05 6.54678e-05
6.61515e-05 6.61515e-05
6.68217e-05 6.68217e-05
6.74787e-05 6.74787e-05
6.71226e-05 6.71226e-05
6.57936e-05 6.57936e-05
6.44909e-05 6.44909e-05
6.32139e-05 6.32139e-05
6.19623e-05 6.19623e-05
6.07354e-05 6.07354e-05
5.95329e-05 5.95329e-05
5.83541e-05 5.83541e-05
5.71987e-05 5.71987e-05
5.60662e-05 5.60662e-05
5.49561e-05 5.49561e-05
5.38679e-05 5.38679e-05
5.28014e-05 5.28014e-05
5.17559e-05 5.17559e-05
5.07311e-05 5.07311e-05
4.97266e-05 4.97266e-05
4.87421e-05 4.87421e-05
4.7777e-05 4.7777e-05
4.6831e-05 4.6831e-05
4.59037e-05 4.59037e-05
4.49948e-05 4.49948e-05
4.41039e-05 4.41039e-05
4.32307e-05 4.32307e-05
4.23747e-05 4.23747e-05
4.15357e-05 4.15357e-05
4.07133e-05 4.07133e-05
3.99072e-05 3.99072e-05
3.9117e-05 3.9117e-05
3.83425e-05 3.83425e-05
3.75833e-05 3.75833e-05
3.68392e-05 3.68392e-05
3.61097e-05 3.61097e-05
3.53948e-05 3.53948e-05
3.46939e-05 3.46939e-05
3.4007e-05 3.4007e-05
3.33337e-05 3.33337e-05
3.26737e-05 3.26737e-05
3.20267e-05 3.20267e-05
3.13926e-05 3.13926e-05
3.0771e-05 3.0771e-05
3.01618e-05 3.01618e-05
2.95646e-05 2.95646e-05
2.89792e-05 2.89792e-05
2.84054e-05 2.84054e-05
2.7843e-05 2.7843e-05
2.72917e-05 2.72917e-05
2.67513e-05 2.67513e-05
2.62216e-05 2.62216e-05
2.57024e-05 2.57024e-05
2.51935e-05 2.51935e-05
2.46947e-05 2.46947e-05
2.42057e-05 2.42057e-05
2.37265e-05 2.37265e-05
2.32567e-05 2.32567e-05
2.27962e-05 2.27962e-05
2.33448e-05 2.33448e-05
2.48626e-05 2.48626e-05
2.63503e-05 2.63503e-05
2.78086e-05 2.78086e-05
2.9238e-05 2.9238e-05
3.06391e-05 3.06391e-05
3.20124e-05 3.20124e-05
3.33586e-05 3.33586e-05
3.46781e-05 3.46781e-05
3.59714e-05 3.59714e-05
3.72392e-05 3.72392e-05
3.84819e-05 3.84819e-05
3.96999e-05 3.96999e-05
4.08939e-05 4.08939e-05
4.20642e-05 4.20642e-05
4.32113e-05 4.32113e-05
4.43357e-05 4.43357e-05
4.54379e-05 4.54379e-05
4.65182e-05 4.65182e-05
4.75771e-05 4.75771e-05
4.86151e-05 4.86151e-05
4.96325e-05 4.96325e-05
5.06298e-05 5.06298e-05
5.16073e-05 5.16073e-05
5.25655e-05 5.25655e-05
5.35047e-05 5.35047e-05
5.44253e-05 5.44253e-05
5.53277e-05 5.53277e-05
5.62122e-05 5.62122e-05
5.70792e-05 5.70792e-05
5.7929e-05 5.7929e-05
5.8762e-05 5.8762e-05
5.95786e-05 5.95786e-05
6.03789e-05 6.03789e-05
6.11634e-05 6.11634e-05
6.19324e-05 6.19324e-05
6.26861e-05 6.26861e-05
6.34249e-05 6.34249e-05
6.41491e-05 6.41491e-05
6.4859e-05 6.4859e-05
6.55547e-05 6.55547e-05
6.62368e-05 6.62368e-05
6.69053e-05 6.69053e-05
6.75606e-05 6.75606e-05
6.82029e-05 6.82029e-05
6.78324e-05 6.78324e-05
6.64894e-05 6.64894e-05
6.51729e-05 6.51729e-05
6.38824e-05 6.38824e-05
6.26176e-05 6.26176e-05
6.13777e-05 6.13777e-05
6.01625e-05 6.01625e-05
5.89712e-05 5.89712e-05
5.78036e-05 5.78036e-05
5.66591e-05 5.66591e-05
5.55373e-05 5.55373e-05
5.44376e-05 5.44376e-05
5.33598e-05 5.33598e-05
5.23032e-05 5.23032e-05
5.12676e-05 5.12676e-05
5.02525e-05 5.02525e-05
4.92575e-05 4.92575e-05
4.82822e-05 4.82822e-05
4.73262e-05 4.73262e-05
4.63892e-05 4.63892e-05
4.54707e-05 4.54707e-05
4.45704e-05 4.45704e-05
4.36879e-05 4.36879e-05
4.28228e-05 4.28228e-05
4.19749e-05 4.19749e-05
4.11438e-05 4.11438e-05
4.03292e-05 4.03292e-05
3.95307e-05 3.95307e-05
3.8748e-05 3.8748e-05
3.79808e-05 3.79808e-05
3.72287e-05 3.72287e-05
3.64916e-05 3.64916e-05
3.57691e-05 3.57691e-05
3.50609e-05 3.50609e-05
3.43666e-05 3.43666e-05
3.36862e-05 3.36862e-05
3.30192e-05 3.30192e-05
3.23654e-05 3.23654e-05
3.17246e-05 3.17246e-05
3.10964e-05 3.10964e-05
3.04807e-05 3.04807e-05
2.98772e-05 2.98772e-05
2.92856e-05 2.92856e-05
2.87058e-05 2.87058e-05
2.81374e-05 2.81374e-05
2.75803e-05 2.75803e-05
2.70342e-05 2.70342e-05
2.64989e-05 2.64989e-05
2.59742e-05 2.59742e-05
2.546e-05 2.546e-05
2.49558e-05 2.49558e-05
2.44617e-05 2.44617e-05
2.39774e-05 2.39774e-05
2.35026e-05 2.35026e-05
2.30373e-05 2.30373e-05
2.35811e-05 2.35811e-05
2.50942e-05 2.50942e-05
2.65774e-05 2.65774e-05
2.80311e-05 2.80311e-05
2.94561e-05 2.94561e-05
3.08529e-05 3.08529e-05
3.2222e-05 3.2222e-05
3.3564e-05 3.3564e-05
3.48794e-05 3.48794e-05
3.61688e-05 3.61688e-05
3.74327e-05 3.74327e-05
3.86715e-05 3.86715e-05
3.98858e-05 3.98858e-05
4.10761e-05 4.10761e-05
4.22428e-05 4.22428e-05
4.33864e-05 4.33864e-05
4.45073e-05 4.45073e-05
4.56061e-05 4.56061e-05
4.66831e-05 4.66831e-05
4.77387e-05 4.77387e-05
4.87735e-05 4.87735e-05
4.97878e-05 4.97878e-05
5.0782e-05 5.0782e-05
5.17565e-05 5.17565e-05
5.27117e-05 5.27117e-05
5.3648e-05 5.3648e-05
5.45658e-05 5.45658e-05
5.54654e-05 5.54654e-05
5.63472e-05 5.63472e-05
5.72115e-05 5.72115e-05
5.80587e-05 5.80587e-05
5.88892e-05 5.88892e-05
5.97032e-05 5.97032e-05
6.0501e-05 6.0501e-05
6.12831e-05 6.12831e-05
6.20497e-05 6.20497e-05
6.28011e-05 6.28011e-05
6.35377e-05 6.35377e-05
6.42596e-05 6.42596e-05
6.49673e-05 6.49673e-05
6.56609e-05 6.56609e-05
6.63408e-05 6.63408e-05
6.70073e-05 6.70073e-05
6.76606e-05 6.76606e-05
6.83009e-05 6.83009e-05
6.79285e-05 6.79285e-05
6.65835e-05 6.65835e-05
6.52652e-05 6.52652e-05
6.39729e-05 6.39729e-05
6.27063e-05 6.27063e-05
6.14647e-05 6.14647e-05
6.02477e-05 6.02477e-05
5.90548e-05 5.90548e-05
5.78855e-05 5.78855e-05
5.67394e-05 5.67394e-05
5.56159e-05 5.56159e-05
5.45147e-05 5.45147e-05
5.34353e-05 5.34353e-05
5.23773e-05 5.23773e-05
5.13402e-05 5.13402e-05
5.03237e-05 5.03237e-05
4.93273e-05 4.93273e-05
4.83506e-05 4.83506e-05
4.73933e-05 4.73933e-05
4.64549e-05 4.64549e-05
4.55351e-05 4.55351e-05
4.46335e-05 4.46335e-05
4.37497e-05 4.37497e-05
4.28835e-05 4.28835e-05
4.20344e-05 4.20344e-05
4.12021e-05 4.12021e-05
4.03863e-05 4.03863e-05
3.95867e-05 3.95867e-05
3.88029e-05 3.88029e-05
3.80346e-05 3.80346e-05
3.72815e-05 3.72815e-05
3.65433e-05 3.65433e-05
3.58197e-05 3.58197e-05
3.51105e-05 3.51105e-05
3.44153e-05 3.44153e-05
3.37339e-05 3.37339e-05
3.3066e-05 3.3066e-05
3.24113e-05 3.24113e-05
3.17695e-05 3.17695e-05
3.11405e-05 3.11405e-05
3.05239e-05 3.05239e-05
2.99195e-05 2.99195e-05
2.93271e-05 2.93271e-05
2.87464e-05 2.87464e-05
2.81773e-05 2.81773e-05
2.76194e-05 2.76194e-05
2.70725e-05 2.70725e-05
2.65365e-05 2.65365e-05
2.6011e-05 2.6011e-05
2.5496e-05 2.5496e-05
