V1(t) V2(t)
6.56234e-05 2.49923
6.63041e-05 2.49923
6.69714e-05 2.49923
6.76254e-05 2.49922
6.80165e-05 2.49922
6.66696e-05 2.49922
6.53495e-05 2.49921
6.40554e-05 2.49921
6.27871e-05 2.49921
6.15438e-05 2.49921
6.03251e-05 2.49921
5.91306e-05 2.49921
5.79597e-05 2.49921
5.6812e-05 2.49921
5.56871e-05 2.49922
5.45844e-05 2.49922
5.35035e-05 2.49922
5.24441e-05 2.49922
5.14056e-05 2.49923
5.03877e-05 2.49923
4.93899e-05 2.49924
4.84119e-05 2.49924
4.74533e-05 2.49925
4.65137e-05 2.49925
4.55926e-05 2.49926
4.46898e-05 2.49927
4.38049e-05 2.49927
4.29375e-05 2.49928
4.20873e-05 2.49929
4.12539e-05 2.49929
4.0437e-05 2.4993
3.96363e-05 2.49931
3.88514e-05 2.49931
3.80821e-05 2.49932
3.7328e-05 2.49933
3.65889e-05 2.49934
3.58644e-05 2.49934
3.51542e-05 2.49935
3.44581e-05 2.49936
3.37758e-05 2.49937
3.3107e-05 2.49938
3.24514e-05 2.49938
3.18088e-05 2.49939
3.11789e-05 2.4994
3.05616e-05 2.49941
2.99564e-05 2.49941
2.93632e-05 2.49942
2.87818e-05 2.49943
2.82118e-05 2.49944
2.76532e-05 2.49945
2.71056e-05 2.49945
2.65689e-05 2.49946
2.60428e-05 2.49947
2.55271e-05 2.49948
2.50216e-05 2.49949
2.45262e-05 2.49949
2.40405e-05 2.4995
2.35645e-05 2.49951
2.30979e-05 2.49952
2.28905e-05 2.49952
2.44174e-05 2.49953
2.5914e-05 2.49954
2.7381e-05 2.49954
2.8819e-05 2.49954
3.02285e-05 2.49955
3.16101e-05 2.49955
3.29643e-05 2.49955
3.42917e-05 2.49955
3.55928e-05 2.49955
3.68682e-05 2.49955
3.81183e-05 2.49955
3.93436e-05 2.49955
4.05447e-05 2.49954
4.1722e-05 2.49954
4.2876e-05 2.49954
4.40072e-05 2.49953
4.51159e-05 2.49953
4.62027e-05 2.49952
4.7268e-05 2.49952
4.83121e-05 2.49951
4.93356e-05 2.49951
5.03389e-05 2.4995
5.13222e-05 2.4995
5.22861e-05 2.49949
5.32309e-05 2.49948
5.4157e-05 2.49948
5.50648e-05 2.49947
5.59546e-05 2.49946
5.68267e-05 2.49945
5.76816e-05 2.49945
5.85196e-05 2.49944
5.9341e-05 2.49943
6.01461e-05 2.49942
6.09352e-05 2.49941
6.17088e-05 2.49941
6.2467e-05 2.4994
6.32102e-05 2.49939
6.39387e-05 2.49938
6.46528e-05 2.49937
6.53527e-05 2.49936
6.60388e-05 2.49936
6.67113e-05 2.49935
6.73704e-05 2.49934
6.80165e-05 2.49933
6.83999e-05 2.49932
6.70454e-05 2.49931
6.57178e-05 2.49931
6.44165e-05 2.4993
6.3141e-05 2.4993
6.18907e-05 2.49929
6.06652e-05 2.49929
5.94639e-05 2.49929
5.82864e-05 2.49929
5.71323e-05 2.49928
5.6001e-05 2.49928
5.48921e-05 2.49928
5.38051e-05 2.49928
5.27397e-05 2.49928
5.16954e-05 2.49929
5.06717e-05 2.49929
4.96684e-05 2.49929
4.86848e-05 2.49929
4.77208e-05 2.4993
4.67759e-05 2.4993
4.58496e-05 2.4993
4.49417e-05 2.49931
4.40518e-05 2.49931
4.31795e-05 2.49932
4.23245e-05 2.49932
4.14864e-05 2.49933
4.06649e-05 2.49933
3.98597e-05 2.49934
3.90704e-05 2.49935
3.82968e-05 2.49935
3.75384e-05 2.49936
3.67951e-05 2.49936
3.60665e-05 2.49937
3.53524e-05 2.49938
3.46523e-05 2.49938
3.39662e-05 2.49939
3.32936e-05 2.4994
3.26343e-05 2.4994
3.19881e-05 2.49941
3.13547e-05 2.49942
3.07338e-05 2.49943
3.01252e-05 2.49943
2.95287e-05 2.49944
2.8944e-05 2.49945
2.83709e-05 2.49945
2.78091e-05 2.49946
2.72584e-05 2.49947
2.67187e-05 2.49948
2.61896e-05 2.49948
2.5671e-05 2.49949
2.51627e-05 2.4995
2.46644e-05 2.4995
2.4176e-05 2.49951
2.36973e-05 2.49952
2.32281e-05 2.49953
2.30181e-05 2.49953
2.45425e-05 2.49954
2.60366e-05 2.49954
2.75012e-05 2.49955
2.89368e-05 2.49955
3.0344e-05 2.49955
3.17233e-05 2.49956
3.30752e-05 2.49956
3.44005e-05 2.49956
3.56994e-05 2.49956
3.69727e-05 2.49956
3.82207e-05 2.49955
3.9444e-05 2.49955
4.06431e-05 2.49955
4.18185e-05 2.49955
4.29706e-05 2.49954
4.40998e-05 2.49954
4.52067e-05 2.49953
4.62917e-05 2.49953
4.73552e-05 2.49952
4.83977e-05 2.49952
4.94195e-05 2.49951
5.04211e-05 2.49951
5.14028e-05 2.4995
5.23651e-05 2.49949
5.33083e-05 2.49949
5.42329e-05 2.49948
5.51392e-05 2.49947
5.60275e-05 2.49946
5.68982e-05 2.49946
5.77517e-05 2.49945
5.85882e-05 2.49944
5.94083e-05 2.49943
6.0212e-05 2.49942
6.09999e-05 2.49942
6.17722e-05 2.49941
6.25291e-05 2.4994
6.32711e-05 2.49939
6.39984e-05 2.49938
6.47113e-05 2.49937
6.54101e-05 2.49937
6.6095e-05 2.49936
6.67664e-05 2.49935
6.74244e-05 2.49934
6.80695e-05 2.49933
6.84517e-05 2.49932
6.70963e-05 2.49932
6.57677e-05 2.49931
6.44654e-05 2.4993
6.31889e-05 2.4993
6.19376e-05 2.49929
6.07112e-05 2.49929
5.9509e-05 2.49929
5.83306e-05 2.49929
5.71756e-05 2.49928
5.60435e-05 2.49928
5.49337e-05 2.49928
5.38459e-05 2.49928
5.27797e-05 2.49929
5.17346e-05 2.49929
5.07102e-05 2.49929
4.9706e-05 2.49929
4.87218e-05 2.49929
4.7757e-05 2.4993
4.68114e-05 2.4993
4.58844e-05 2.4993
4.49758e-05 2.49931
4.40852e-05 2.49931
4.32123e-05 2.49932
4.23566e-05 2.49932
4.15179e-05 2.49933
4.06958e-05 2.49933
3.98899e-05 2.49934
3.91001e-05 2.49935
